cl	NPERT	tpr	fpr
braf	2	0.0625	0.008620689655172414
braf	2	0.0625	0.0
braf	2	0.1875	0.008620689655172414
braf	2	0.0625	0.008620689655172414
braf	2	0.125	0.04310344827586207
braf	2	0.0625	0.04310344827586207
braf	2	0.125	0.05172413793103448
braf	2	0.0625	0.0
braf	2	0.0625	0.0
braf	2	0.125	0.0
braf	2	0.0625	0.008620689655172414
braf	2	0.0625	0.008620689655172414
braf	2	0.0625	0.0
braf	2	0.0	0.017241379310344827
braf	2	0.0625	0.0
braf	2	0.1875	0.04310344827586207
braf	2	0.125	0.0
braf	2	0.1875	0.034482758620689655
braf	2	0.0625	0.008620689655172414
braf	2	0.0625	0.0
braf	2	0.0625	0.04310344827586207
braf	2	0.125	0.008620689655172414
braf	2	0.0625	0.05172413793103448
braf	2	0.125	0.0
braf	2	0.0625	0.008620689655172414
braf	2	0.0625	0.017241379310344827
braf	2	0.0625	0.008620689655172414
braf	2	0.125	0.017241379310344827
braf	2	0.0625	0.008620689655172414
braf	2	0.125	0.04310344827586207
braf	2	0.125	0.034482758620689655
braf	2	0.0625	0.017241379310344827
braf	2	0.125	0.008620689655172414
braf	2	0.125	0.0
braf	2	0.125	0.02586206896551724
braf	2	0.0625	0.0
braf	2	0.0625	0.0
braf	4	0.0625	0.04310344827586207
braf	4	0.125	0.05172413793103448
braf	4	0.25	0.0603448275862069
braf	4	0.1875	0.0
braf	4	0.1875	0.034482758620689655
braf	4	0.375	0.034482758620689655
braf	4	0.1875	0.0
braf	4	0.25	0.02586206896551724
braf	4	0.1875	0.017241379310344827
braf	4	0.1875	0.0
braf	4	0.3125	0.02586206896551724
braf	4	0.125	0.0
braf	4	0.125	0.008620689655172414
braf	4	0.1875	0.04310344827586207
braf	4	0.25	0.017241379310344827
braf	4	0.125	0.04310344827586207
braf	4	0.0625	0.02586206896551724
braf	4	0.125	0.02586206896551724
braf	4	0.375	0.034482758620689655
braf	4	0.1875	0.008620689655172414
braf	4	0.1875	0.034482758620689655
braf	4	0.25	0.0
braf	4	0.3125	0.02586206896551724
braf	4	0.0625	0.04310344827586207
braf	4	0.1875	0.05172413793103448
braf	4	0.1875	0.0
braf	4	0.125	0.0
braf	4	0.25	0.008620689655172414
braf	4	0.25	0.008620689655172414
braf	4	0.3125	0.02586206896551724
braf	4	0.25	0.0
braf	4	0.25	0.04310344827586207
braf	4	0.3125	0.017241379310344827
braf	4	0.25	0.05172413793103448
braf	4	0.25	0.017241379310344827
braf	4	0.0625	0.017241379310344827
braf	4	0.125	0.02586206896551724
braf	4	0.1875	0.017241379310344827
braf	4	0.25	0.008620689655172414
braf	4	0.3125	0.034482758620689655
braf	4	0.1875	0.0
braf	4	0.1875	0.0
braf	4	0.125	0.0
braf	4	0.4375	0.017241379310344827
braf	4	0.125	0.0
braf	4	0.25	0.0
braf	4	0.25	0.008620689655172414
braf	4	0.125	0.06896551724137931
braf	4	0.125	0.02586206896551724
braf	4	0.125	0.04310344827586207
braf	10	0.375	0.017241379310344827
braf	10	0.5625	0.034482758620689655
braf	10	0.5625	0.04310344827586207
braf	10	0.5	0.017241379310344827
braf	10	0.625	0.008620689655172414
braf	10	0.5	0.034482758620689655
braf	10	0.6875	0.008620689655172414
braf	10	0.4375	0.008620689655172414
braf	10	0.5625	0.02586206896551724
braf	10	0.5625	0.017241379310344827
braf	10	0.4375	0.017241379310344827
braf	10	0.625	0.008620689655172414
braf	10	0.375	0.008620689655172414
braf	10	0.625	0.008620689655172414
braf	10	0.5625	0.02586206896551724
braf	10	0.5	0.017241379310344827
braf	10	0.375	0.017241379310344827
braf	10	0.625	0.0
braf	10	0.625	0.017241379310344827
braf	10	0.5625	0.02586206896551724
braf	10	0.4375	0.034482758620689655
braf	10	0.5	0.0
braf	10	0.6875	0.008620689655172414
braf	10	0.5625	0.02586206896551724
braf	10	0.5625	0.008620689655172414
braf	10	0.5625	0.02586206896551724
